38	39	38	40.5	40	42	41.5	44	44.5	46	45	43
40.5	40	39	38	36.5	34	33	32	30	22	22.5	22.5
18	18	19	20	20	25	25	22	25	24	20	20
20	20	21	21	21	21	21	21	21	18	18	18
18	18	17.9	18	18	18	18	18	18	18	18	18
18.2	18	18	18.1	18	17.8	18	18	18	18	18	18
16	16	16	16	16	16	16.1	16	15.9	16	16	16
17	22	23	23	21	21	25	25	25	25	25.1	25
25	25.2	25	25	27	24	24	24	25	25	25	25
25	25	25	25.5	25.5	25.5	26	27	27	25	26	26
26	26	38	38	38	38	38	40	50	50	50	50
40	50	65	70	75	75	72	72	82	80	80	80
190	190	190	190	180	180	165	110	230	230	210	190
180	210	196	193	190	185	160	126	120	95	95	150
151	150	160	127	123	115.5	120	125	125	130	135	130
123	121	120	140.5	210	190	160.5	160	130	130.6	120	118
115	120	126	135	135	120	98	85	75	55	48	50
50	52	48	44	40	41	40	39	37	35	37	42
46	43	42	41	42	43	38	41	42	43	39	39
40	42	43	53	57	48	46	45	45	45	45	45
45	45	45	45	45	45	45	44	43	41	38	32
33	35	35	40	42	40	40	48	53	58	70	78
75	75	75.5	85	85	80	80	90	90	95	95	98
95	98	105	105	105	105	104.3	104	95	82	76.5	72
